,,TOTAUX,899.19
Date,Catégorie,Libellé,Poids_kg,Notes,,,,,,,,,,,,,,,,,,,,,Textile,,,,,,,,,,,,,,,,,,,,
,Textile,Lot textile,3.80,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Textile,Lot textile,4.50,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Textile,Lot textile,3.50,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Textile,Lot textile,8.50,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Textile,Lot textile,1.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Textile,Lot textile,3.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Textile,Lot textile,2.70,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Textile,Lot textile,5.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Textile,Lot textile,6.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Textile,Lot livres,3.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livres,Lot livres,3.25,3 kg 250,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livres,Lot livres,4.50,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livres,Lot livres,3.20,3 kg 200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livres,Lot livres,3.75,3 kg 750,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livres,Lot livres,1.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livres,Lot livres,4.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Livres,Lot livres,5.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Outillage/Bricolage,Lot bricolage,0.48,480 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,15.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,18.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,1.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,10.00,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,1.08,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,0.34,340 g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,3.66,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,2.70,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,1.06,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,1.86,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,1.30,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,1.40,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,3.51,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Vaisselle,Lot vaisselle,1.25,cahier p.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
