,,,Totaux :,138.82,303.70
Date,Type,Catégorie,Libellé,Poids_kg,Prix_€,Paiement,Notes,,,,,,,,,,,,,,,,,,Vente,Espèces,Textile
 26/09/2025 , Vente , Livres      , Livre             ,1.78,1.00, Espèces  , cahier p.2 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Livres      , Livre             ,0.43,1.00, Espèces  , cahier p.2 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Textile     , Vêtement          ,0.40,3.00, Espèces  , cahier p.2 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Textile     , Veste             ,0.30,10.00, Espèces  , cahier p.2 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Vaisselle   , Casseroles        ,1.30,3.00, Espèces  , cahier p.2 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Livres      , Livres            ,1.30,3.00, Espèces  , cahier p.2 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Livres      , Livres            ,1.40,5.00, Espèces  , cahier p.2 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Vaisselle   , Vaisselles        ,6.43,4.00, Espèces  , cahier p.2 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Divers      , Élément collant   ,0.20,0.20, Espèces  , cahier p.2 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Vaisselle   , Assiette          ,12.40,5.00, Espèces  , cahier p.2 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Vente , Vaisselle   , Vaisselle         ,1.16,3.00, Espèces  , cahier p.2 ,,,,,,,,,,,,,,,,,,,,
 26/09/2025 , Don   , Divers      , Don               ,          ,20.00, Espèces  , cahier p.2 ,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,

